14/01/21,4
15/01/21,5
16/01/21,7
17/01/21,7
18/01/21,6
19/01/21,1
20/01/21,2
21/01/21,3
22/01/21,4
23/01/21,7
24/01/21,7
25/01/21,5
26/01/21,7
27/01/21,6
28/01/21,1
29/01/21,2
30/01/21,7
31/01/21,7
01/02/21,3
02/02/21,4
03/02/21,5
04/02/21,6
05/02/21,1
06/02/21,7
07/02/21,7
08/02/21,2
09/02/21,3
10/02/21,4
11/02/21,5
12/02/21,6
13/02/21,7
14/02/21,7
15/02/21,1
16/02/21,2
17/02/21,3
18/02/21,4
19/02/21,5
20/02/21,7
21/02/21,7
22/02/21,6
23/02/21,1
24/02/21,2
25/02/21,3
26/02/21,4
27/02/21,7
28/02/21,7
01/03/21,5
02/03/21,6
03/03/21,1
04/03/21,2
05/03/21,3
06/03/21,7
07/03/21,7
08/03/21,4
09/03/21,5
10/03/21,6
11/03/21,7
12/03/21,1
13/03/21,7
14/03/21,7
15/03/21,2
16/03/21,3
17/03/21,4
18/03/21,5
19/03/21,6
20/03/21,7
21/03/21,7
22/03/21,1
23/03/21,2
24/03/21,3
25/03/21,7
26/03/21,7
27/03/21,7
28/03/21,7
29/03/21,7
30/03/21,6
31/03/21,1
01/04/21,2
02/04/21,7
03/04/21,7
04/04/21,7
05/04/21,3
06/04/21,4
07/04/21,5
08/04/21,6
09/04/21,1
10/04/21,7
11/04/21,7
12/04/21,2
13/04/21,3
14/04/21,4
15/04/21,5
16/04/21,6
17/04/21,7
18/04/21,7
19/04/21,1
20/04/21,2
21/04/21,7
22/04/21,3
23/04/21,4
24/04/21,7
25/04/21,7
26/04/21,5
27/04/21,6
28/04/21,1
29/04/21,2
30/04/21,3
01/05/21,7
02/05/21,7
03/05/21,4
04/05/21,5
05/05/21,6
06/05/21,1
07/05/21,2
08/05/21,7
09/05/21,7
10/05/21,3
11/05/21,4
12/05/21,5
13/05/21,7
14/05/21,6
15/05/21,7
16/05/21,7
17/05/21,1
18/05/21,2
19/05/21,3
20/05/21,4
21/05/21,5
22/05/21,7
23/05/21,7
24/05/21,6
25/05/21,1
26/05/21,2
27/05/21,3
28/05/21,4
29/05/21,7
30/05/21,7
31/05/21,7
01/06/21,7
02/06/21,7
03/06/21,7
04/06/21,7
05/06/21,7
06/06/21,7
07/06/21,7
08/06/21,7
09/06/21,7
10/06/21,7
11/06/21,7
12/06/21,7
13/06/21,7
14/06/21,7
15/06/21,7
16/06/21,7
17/06/21,7
18/06/21,7
19/06/21,7
20/06/21,7
21/06/21,7
22/06/21,7
23/06/21,7
24/06/21,7
25/06/21,7
26/06/21,7
27/06/21,7
28/06/21,7
29/06/21,7
30/06/21,7
